,date,5. adjusted close,symbol
0,2008-03-30,14.059,V
1,2008-04-06,14.4443,V
2,2008-04-13,14.8095,V
3,2008-04-20,15.4569,V
4,2008-04-27,16.8233,V
5,2008-05-04,18.537,V
6,2008-05-11,18.5617,V
7,2008-05-18,18.4519,V
8,2008-05-25,17.1034,V
9,2008-06-01,19.3457,V
10,2008-06-08,18.7386,V
11,2008-06-15,18.2637,V
12,2008-06-22,18.7207,V
13,2008-06-29,18.5034,V
14,2008-07-06,17.4887,V
15,2008-07-13,16.7001,V
16,2008-07-20,16.4425,V
17,2008-07-27,16.1199,V
18,2008-08-03,16.0684,V
19,2008-08-10,16.2633,V
20,2008-08-17,17.002,V
21,2008-08-24,16.6207,V
22,2008-08-31,17.0267,V
23,2008-09-07,16.098,V
24,2008-09-14,16.0733,V
25,2008-09-21,15.6067,V
26,2008-09-28,13.9175,V
27,2008-10-05,12.751,V
28,2008-10-12,11.6652,V
29,2008-10-19,11.7145,V
30,2008-10-26,10.7634,V
31,2008-11-02,12.4167,V
32,2008-11-09,12.0017,V
33,2008-11-16,12.1924,V
34,2008-11-23,10.4256,V
35,2008-11-30,11.8147,V
36,2008-12-07,11.9541,V
37,2008-12-14,11.9024,V
38,2008-12-21,12.3565,V
39,2008-12-28,11.9698,V
40,2009-01-04,12.0126,V
41,2009-01-11,12.5026,V
42,2009-01-18,10.6571,V
43,2009-01-25,9.9625,V
44,2009-02-01,11.0932,V
45,2009-02-08,12.4554,V
46,2009-02-15,12.6008,V
47,2009-02-22,12.5355,V
48,2009-03-01,12.772,V
49,2009-03-08,11.3036,V
50,2009-03-15,11.7225,V
51,2009-03-22,11.8306,V
52,2009-03-29,12.2179,V
53,2009-04-05,13.5309,V
54,2009-04-12,13.2404,V
55,2009-04-19,13.0625,V
56,2009-04-26,13.5985,V
57,2009-05-03,14.6412,V
58,2009-05-10,15.4115,V
59,2009-05-17,14.6786,V
60,2009-05-24,14.832,V
61,2009-05-31,15.2742,V
62,2009-06-07,15.6283,V
63,2009-06-14,14.5185,V
64,2009-06-21,13.844,V
65,2009-06-28,14.3967,V
66,2009-07-05,13.6297,V
67,2009-07-12,13.5033,V
68,2009-07-19,14.4598,V
69,2009-07-26,15.1794,V
70,2009-08-02,14.7666,V
71,2009-08-09,15.6035,V
72,2009-08-16,15.3179,V
73,2009-08-23,15.589,V
74,2009-08-30,15.9279,V
75,2009-09-06,15.8963,V
76,2009-09-13,16.3323,V
77,2009-09-20,16.6712,V
78,2009-09-27,15.9641,V
79,2009-10-04,15.3157,V
80,2009-10-11,16.4792,V
81,2009-10-18,16.7842,V
82,2009-10-25,16.7458,V
83,2009-11-01,17.1163,V
84,2009-11-08,17.9997,V
85,2009-11-15,18.1025,V
86,2009-11-22,18.1025,V
87,2009-11-29,18.1772,V
88,2009-12-06,18.1636,V
89,2009-12-13,18.4057,V
90,2009-12-20,20.1323,V
91,2009-12-27,19.5258,V
92,2010-01-03,19.7906,V
93,2010-01-10,19.6865,V
94,2010-01-17,19.4919,V
95,2010-01-24,18.7203,V
96,2010-01-31,18.5619,V
97,2010-02-07,18.6818,V
98,2010-02-14,19.2128,V
99,2010-02-21,19.6729,V
100,2010-02-28,19.3261,V
101,2010-03-07,20.0581,V
102,2010-03-14,21.1323,V
103,2010-03-21,20.1329,V
104,2010-03-28,20.4524,V
105,2010-04-04,20.9737,V
106,2010-04-11,20.9669,V
107,2010-04-18,21.2683,V
108,2010-04-25,21.8892,V
109,2010-05-02,20.4479,V
110,2010-05-09,18.6485,V
111,2010-05-16,17.5342,V
112,2010-05-23,16.8397,V
113,2010-05-30,16.4448,V
114,2010-06-06,16.3699,V
115,2010-06-13,17.2664,V
116,2010-06-20,17.4843,V
117,2010-06-27,17.398,V
118,2010-07-04,16.6082,V
119,2010-07-11,17.5614,V
120,2010-07-18,16.2156,V
121,2010-07-25,17.1552,V
122,2010-08-01,16.6468,V
123,2010-08-08,16.3722,V
124,2010-08-15,16.4182,V
125,2010-08-22,15.9363,V
126,2010-08-29,16.1659,V
127,2010-09-05,16.4819,V
128,2010-09-12,15.4793,V
129,2010-09-19,15.5703,V
130,2010-09-26,16.4523,V
131,2010-10-03,16.6683,V
132,2010-10-10,16.8229,V
133,2010-10-17,17.6413,V
134,2010-10-24,18.0255,V
135,2010-10-31,17.7686,V
136,2010-11-07,18.1414,V
137,2010-11-14,17.4912,V
138,2010-11-21,17.551,V
139,2010-11-28,17.1933,V
140,2010-12-05,17.6193,V
141,2010-12-12,18.2685,V
142,2010-12-19,15.2389,V
143,2010-12-26,15.6558,V
144,2011-01-02,16.0316,V
145,2011-01-09,16.6193,V
146,2011-01-16,16.2002,V
147,2011-01-23,15.9792,V
148,2011-01-30,15.8221,V
149,2011-02-06,16.6056,V
150,2011-02-13,17.103,V
151,2011-02-20,17.3084,V
152,2011-02-27,17.0459,V
153,2011-03-06,17.0482,V
154,2011-03-13,16.5506,V
155,2011-03-20,16.3018,V
156,2011-03-27,16.4547,V
157,2011-04-03,16.9409,V
158,2011-04-10,17.5116,V
159,2011-04-17,17.4545,V
160,2011-04-24,17.7512,V
161,2011-05-01,17.8311,V
162,2011-05-08,18.1256,V
163,2011-05-15,18.2397,V
164,2011-05-22,17.8897,V
165,2011-05-29,18.2487,V
166,2011-06-05,18.0955,V
167,2011-06-12,17.0802,V
168,2011-06-19,17.0207,V
169,2011-06-26,16.7783,V
170,2011-07-03,20.117,V
171,2011-07-10,20.5195,V
172,2011-07-17,20.2954,V
173,2011-07-24,20.4715,V
174,2011-07-31,19.5613,V
175,2011-08-07,19.0743,V
176,2011-08-14,19.1703,V
177,2011-08-21,18.2355,V
178,2011-08-28,19.6673,V
179,2011-09-04,19.5986,V
180,2011-09-11,19.7818,V
181,2011-09-18,20.8127,V
182,2011-09-25,20.6363,V
183,2011-10-02,19.6375,V
184,2011-10-09,19.7589,V
185,2011-10-16,21.516,V
186,2011-10-23,21.4038,V
187,2011-10-30,21.7864,V
188,2011-11-06,21.2228,V
189,2011-11-13,21.8001,V
190,2011-11-20,20.8526,V
191,2011-11-27,20.4415,V
192,2011-12-04,22.3199,V
193,2011-12-11,22.3176,V
194,2011-12-18,22.375,V
195,2011-12-25,23.5324,V
196,2012-01-01,23.3142,V
197,2012-01-08,23.1259,V
198,2012-01-15,23.1328,V
